cohort	gene	alias	n	rho	rho_lo	rho_hi	p	rho_purity_adj	p_purity_adj	rho_prolif_adj	p_prolif_adj	q	q_purity_adj	q_prolif_adj
SARC	CD276	B7-H3	258	-0.09389742221784474	-0.2205905833273962	0.03591167101851725	0.13252536111975377	-0.04976324645976153	0.42698068232206465	-0.12217369319089277	0.050420342810614034	0.22312943453836095	0.5774738736323005	0.11608404507559975
SARC	IL10	IL-10	258	-0.1656028657287736	-0.28878855748322835	-0.03702322404051083	0.00768765066271293	-0.1389913313095111	0.025869533293529628	-0.16069111514300352	0.009871266237056886	0.021996457098513878	0.0688463386037482	0.028912880398480233
SARC	TGFB1	TGF-beta1	258	-0.21183971177484337	-0.33211063227935245	-0.08479066443645931	0.0006146158217152059	-0.19175430472737953	0.0020166162503692177	-0.2286080298624762	0.00021896753830525053	0.002519004237456527	0.007922420983593356	0.0012751638995423414
SARC	ENTPD1	CD39	258	0.06506044301611605	-0.06485831927791874	0.19281039366072225	0.2978503012211753	0.05037867096037355	0.42127838543304535	0.06801237761691799	0.2773619374822275	0.4232545924082204	0.572779127457119	0.43174263853365596
SARC	NT5E	CD73	258	0.02383649682980743	-0.10586280869029281	0.1527383293396569	0.703154392900859	0.050262400779444195	0.4223522859027241	0.01589936911886011	0.7997583857390672	0.8019275573082888	0.572779127457119	0.8643676876437517
SKCM	CD274	PD-L1	102	0.20627901601181892	0.00047903691412736827	0.39531564902568667	0.037519411286678926	0.19411184371260973	0.05176765994922514	0.10741638524463641	0.2849880105300432	0.08291119904868781	0.119109313558132	0.4394674928734311
SKCM	PDCD1LG2	PD-L2	102	0.17619182378147488	-0.030743366555811006	0.3686436986682719	0.07649339628659801	0.14586529276323262	0.14553693727196568	0.1292775430856904	0.19758389166808074	0.1468141392473143	0.26388565549312454	0.33041900802601337
SKCM	PDCD1	PD-1	102	-0.34392230168687554	-0.5134009201674793	-0.1486223988412468	0.00040127672383418665	-0.3741508545997508	0.00011604342028186069	-0.2687833139205251	0.006571338824155631	0.001697709216221559	0.0006454100341519219	0.021159020567551867
SKCM	CTLA4	CTLA-4	102	-0.08102751181354703	-0.2821425079695597	0.12690928535522114	0.4181790278462665	-0.09208522004782245	0.35973316792562793	-0.19148467934717012	0.05508135436045211	0.5362658517717667	0.5161388931106835	0.1256464074120912
SKCM	HAVCR2	TIM-3	102	-0.1083014322970794	-0.307272451473716	0.09974220202463688	0.27858612043552033	-0.16083077640992582	0.10812274709344637	-0.13190042122319948	0.18856513562162158	0.4043992070838198	0.20988533259316058	0.31775124168927665
SKCM	LAG3	LAG-3	102	-0.3072769117249311	-0.4825771980299013	-0.10830629981031373	0.0016810407615649925	-0.3233196004596445	0.0009740231866712549	-0.22078330698244705	0.02650841021792437	0.005859966035032896	0.004343616913533975	0.06660742668970844
